Skill,Category
Python,programming_languages
Java,programming_languages
JavaScript,programming_languages
C++,programming_languages
C#,programming_languages
PHP,programming_languages
Ruby,programming_languages
Swift,programming_languages
Kotlin,programming_languages
Go,programming_languages
Rust,programming_languages
TypeScript,programming_languages
Perl,programming_languages
Shell Scripting,programming_languages
Scala,programming_languages
R,programming_languages
MATLAB,programming_languages
PowerShell,programming_languages
Groovy,programming_languages
VB.NET,programming_languages
HTML,frontend
CSS,frontend
React,frameworks_libraries
Angular,frameworks_libraries
Vue.js,frameworks_libraries
Node.js,frameworks_libraries
Express.js,frameworks_libraries
ASP.NET,frameworks_libraries
Django,frameworks_libraries
Flask,frameworks_libraries
Laravel,frameworks_libraries
Symfony,frameworks_libraries
Responsive design,frontend
SQL,databases
RDBMS,databases
MySQL,databases
PostgreSQL,databases
Oracle,databases
Microsoft SQL Server,databases
MongoDB,databases
Cassandra,databases
Database administration,databases
Amazon Web Services (AWS),cloud_platforms
Microsoft Azure,cloud_platforms
Google Cloud Platform (GCP),cloud_platforms
Cloud architecture,cloud_services_aws
DevOps,methodologies
Serverless computing,cloud_platforms
Docker,containers_orchestration
Kubernetes,containers_orchestration
TCP/IP,networking
Routing and Switching,networking
Network security,security
VPN,networking
Firewall configuration,security
Network monitoring,networking
Wireless networking,networking
VoIP,networking
Ethical hacking,security
Penetration testing,security
Incident response,security
Intrusion detection,security
Security auditing,security
Cryptography,security
Malware analysis,security
Linux,misc_tools
Windows Server,misc_tools
macOS,misc_tools
Unix,misc_tools
Bash,misc_tools
Android development,mobile
iOS development,mobile
Flutter,frameworks_libraries
React Native,frameworks_libraries
Mobile UI/UX design,mobile
"""Data manipulation (Pandas, NumPy)""",data_engineering
"""Data visualization (Matplotlib, Seaborn, Tableau)""",analytics_visualization
Machine learning,data_science_ml
TensorFlow,data_science_ml
PyTorch,data_science_ml
Deep learning,data_science_ml
NLP,data_science_ml
Hadoop,frameworks_libraries
Spark,frameworks_libraries
Git,version_control
Jenkins,ci_cd
Travis CI,ci_cd
CircleCI,ci_cd
TeamCity,ci_cd
Ansible,infrastructure_as_code
Puppet,infrastructure_as_code
Chef,infrastructure_as_code
Manual testing,testing_tools
Selenium,testing_tools
JUnit,testing_tools
pytest,testing_tools
TDD,testing_tools
Performance testing,testing_tools
Agile methodologies,methodologies
Scrum,methodologies
Kanban,methodologies
Waterfall methodology,methodologies
Project planning,project_management
Budgeting,project_management
IT Support,misc_tools
Troubleshooting,misc_tools
Customer support,misc_tools
ServiceNow,misc_tools
Jira Service Desk,project_management
Virtualization,misc_tools
VMware,misc_tools
Hyper-V,misc_tools
SAN,misc_tools
NAS,misc_tools
Active Directory,misc_tools
System administration,misc_tools
Backup and recovery,misc_tools
Disaster recovery planning,misc_tools
IoT,misc_tools
Embedded systems,misc_tools
Sensor integration,misc_tools
MQTT,misc_tools
CoAP,misc_tools
Smart contracts,misc_tools
Cryptocurrency development,misc_tools
Blockchain security,security
Unity,misc_tools
Unreal Engine,misc_tools
Game design,misc_tools
3D modeling and animation,misc_tools
User research,misc_tools
"""Wireframing and prototyping (e.g., Sketch, Adobe XD)""",misc_tools
Usability testing,testing_tools
GDPR compliance,security
ISO/IEC 27001,security
ITIL (Information Technology Infrastructure Library),methodologies
SAP,misc_tools
Oracle ERP,misc_tools
ERP implementation and customization,misc_tools
"""Extract, Transform, Load (ETL)""",data_engineering
Data modeling,data_engineering
Data mining,data_science_ml
Natural Language Processing (NLP),data_science_ml
Computer Vision,data_science_ml
Speech recognition,data_science_ml
AI ethics,data_science_ml
Adobe Premiere Pro,graphics_design
Final Cut Pro,graphics_design
Audacity,graphics_design
Adobe After Effects,graphics_design
Documentation creation,office_productivity
API documentation,office_productivity
User manuals,office_productivity
"""Data visualization tools (Tableau, Power BI)""",analytics_visualization
Reporting and dashboards,analytics_visualization
Video editing,graphics_design
Audio editing,graphics_design
Technical writing,office_productivity
Business Intelligence (BI),data_science_ml
Mobile app testing,testing_tools
Quality assurance,testing_tools
API testing,testing_tools
RESTful APIs,networking
GraphQL,programming_languages
Microservices architecture,methodologies
OAuth,security
JSON Web Tokens (JWT),security
Amazon DynamoDB,databases
Elasticsearch,databases
Apache Kafka,big_data_tools
Redis,databases
Full-stack development,programming_languages
Frontend development,frontend
Backend development,programming_languages
Responsive web design,frontend
Cross-browser compatibility,frontend
Web accessibility,frontend
User experience design,graphics_design
User interface design,graphics_design
Wireframing,graphics_design
Prototyping,graphics_design
"""CSS preprocessors (e.g., Sass, Less)""",frontend
Web performance optimization,frontend
SEO (Search Engine Optimization),misc_tools
Google Analytics,analytics_visualization
Content Management Systems (CMS),misc_tools
WordPress,misc_tools
Joomla,misc_tools
Drupal,misc_tools
Magento,misc_tools
E-commerce platforms,misc_tools
Payment gateways,misc_tools
API integration,networking
RESTful architecture,methodologies
SOAP,networking
Real-time systems,misc_tools
Arduino,misc_tools
Raspberry Pi,misc_tools
FPGA,misc_tools
PLC programming,misc_tools
Real-time operating systems (RTOS),misc_tools
Control systems,misc_tools
SCADA,misc_tools
Human-Machine Interface (HMI),misc_tools
Digital Signal Processing (DSP),misc_tools
VHDL,programming_languages
Verilog,programming_languages
Object-Oriented Design (OOD),methodologies
Design Patterns,methodologies
Software Architecture,methodologies
System Analysis,methodologies
Requirements Engineering,methodologies
Object-Oriented Programming (OOP),programming_languages
Functional Programming,programming_languages
"""Low-level programming (Assembly, Embedded C)""",programming_languages
Real-time Operating Systems (RTOS),misc_tools
Safety-critical systems,misc_tools
Wireless communication,networking
RF systems,networking
PCB design,misc_tools
Signal integrity,misc_tools
Microwave engineering,misc_tools
Antenna design,misc_tools
RFID systems,misc_tools
PCB layout design,misc_tools
"""Network protocols (e.g., TCP/IP, UDP, HTTP)""",networking
Network monitoring tools,networking
Network simulation tools,networking
SDN (Software-Defined Networking),networking
Optical networking,networking
Network troubleshooting,networking
Network performance optimization,networking
Virtual Private Networks (VPNs),networking
Cloud networking,networking
Content delivery networks (CDNs),networking
Software-defined storage (SDS),misc_tools
Data deduplication,misc_tools
Data compression,misc_tools
RAID technologies,misc_tools
Fiber Channel,misc_tools
Storage area network (SAN),misc_tools
Network-Attached Storage (NAS),misc_tools
Cloud storage,cloud_platforms
Wireless security,security
VPN technologies,networking
Intrusion Detection System (IDS),security
Identity and Access Management (IAM),security
Penetration testing tools,testing_tools
Vulnerability assessment,security
Security Information and Event Management (SIEM),security
Security Incident Response,security
Data Loss Prevention (DLP),security
Endpoint Security,security
SSL/TLS protocols,security
Public Key Infrastructure (PKI),security
Application Security,security
Secure Coding Practices,security
Secure SDLC,methodologies
Security Auditing,security
Reverse Engineering,security
Malware Analysis,security
Threat Hunting,security
Security Operations Center (SOC),security
Business Continuity Planning (BCP),project_management
Disaster Recovery Planning (DRP),project_management
Incident Response Plan,project_management
Backup and Restore procedures,misc_tools
High Availability (HA),misc_tools
Cloud Computing Security,security
DevSecOps,methodologies
Secure Software Development Life Cycle (SSDLC),methodologies
Security Risk Assessment,security
Service-Oriented Architecture (SOA),methodologies
Microservices,methodologies
"""Web Services (SOAP, REST)""",networking
Service Bus,misc_tools
ESB (Enterprise Service Bus),misc_tools
Message Queues,message_brokers_streaming
API Gateway,networking
API Management,networking
Server-Side Rendering,frontend
Client-Side Rendering,frontend
Progressive Web Apps (PWAs),frontend
Single Page Applications (SPAs),frontend
WebSocket,networking
Authentication and Authorization,security
OAuth 2.0,security
OpenID Connect,security
JWT (JSON Web Tokens),security
SAML (Security Assertion Markup Language),security
OAuth 1.0,security
Identity Federation,security
LDAP (Lightweight Directory Access Protocol),networking
Multi-Factor Authentication (MFA),security
Cross-Site Scripting (XSS),security
Cross-Site Request Forgery (CSRF),security
SQL Injection,security
Clickjacking,security
Security Headers,security
Content Security Policy (CSP),security
Secure Sockets Layer (SSL),security
Transport Layer Security (TLS),security
KVM (Kernel-based Virtual Machine),misc_tools
Xen,misc_tools
QEMU,misc_tools
VirtualBox,misc_tools
Cloud Computing,cloud_platforms
IBM Cloud,cloud_platforms
Oracle Cloud,cloud_platforms
Cloud Security,security
Cloud Governance,cloud_platforms
Cloud Migration,cloud_platforms
Cloud Monitoring,monitoring_logging
Cloud DevOps,methodologies
Cloud Data Management,data_engineering
Cloud Automation,infrastructure_as_code
Cloud Cost Optimization,project_management
Blockchain,misc_tools
Smart Contracts,misc_tools
Decentralized Applications (DApps),misc_tools
Consensus Mechanisms,misc_tools
Hyperledger,misc_tools
Corda,misc_tools
Solidity,programming_languages
Truffle Framework,frameworks_libraries
Ethereum,misc_tools
EOSIO,misc_tools
Quorum,misc_tools
Privacy-Preserving Techniques,security
Homomorphic Encryption,security
Differential Privacy,security
Federated Learning,data_science_ml
Secure Multi-Party Computation (SMPC),security
Edge Computing,misc_tools
Fog Computing,misc_tools
Mobile Edge Computing (MEC),misc_tools
Blockchain Interoperability,misc_tools
Cross-Chain Communication,misc_tools
Sharding,misc_tools
Sidechains,misc_tools
InterPlanetary File System (IPFS),misc_tools
Artificial Intelligence (AI),data_science_ml
Machine Learning (ML),data_science_ml
Reinforcement Learning,data_science_ml
GANs (Generative Adversarial Networks),data_science_ml
Transfer Learning,data_science_ml
Explainable AI,data_science_ml
Robotics Process Automation (RPA),misc_tools
Intelligent Virtual Assistants,data_science_ml
Chatbots,data_science_ml
Recommendation Systems,data_science_ml
Predictive Analytics,data_science_ml
Data Preprocessing,data_engineering
Feature Engineering,data_science_ml
Model Evaluation and Selection,data_science_ml
Neural Network Architectures,data_science_ml
Image Recognition,data_science_ml
Object Detection,data_science_ml
Sentiment Analysis,data_science_ml
Data Augmentation,data_science_ml
Data Labeling,data_science_ml
Big Data,big_data_tools
Apache Spark,big_data_tools
HBase,big_data_tools
Apache Hive,big_data_tools
Data Lake,big_data_tools
NoSQL Databases,databases
Couchbase,databases
Apache Cassandra,big_data_tools
Apache HBase,big_data_tools
BigTable,big_data_tools
Time Series Databases,databases
InfluxDB,databases
OpenTSDB,databases
Prometheus,monitoring_logging
TimeScaleDB,databases
